Model,,Version,Date Modified,Author,Maintainer,Still in use-NOAA?,Still in use-externally?,GUI important?,Centers where used
Dual Zone Virtual Population Analysis,(2BOX),3.05,8/4/2004,Porch,Porch,yes,yes,,SEFSC
Age Structured Projection Model,(AGEPRO),4.2.2,9/17/2013,Brodziak,Brodziak,yes,yes,yes,"NEFSC, PIFSC"
An Index Method,(AIM),2.5.0,1/31/2014,Rago,No,yes,unknown,,NEFSC
Age Structured Assessment Program,(ASAP),3.0.16,02/11/2014,Legault et al.,Legault and Miller,yes,yes,,NEFSC
A Stock Production Model Incorporating Covariates,(ASPIC),5.34.9,02/08/2011,Prager,Prager?,yes,yes,,SEFSC
Collie-Sissenwine Analysis,(CSA),4.3,01/13/2014,Seaver,NA,unknown,unknown,,NEFSC
Depletion-Corrected Average Catch,(DCAC),2.1.1,10/4/2012,MacCall,NA,no,no,,DLMtoolkit has replaced this program
Instantaneous Rates,(IRATE),2,4/19/2013,Nelson,Nelson,yes,yes,,NEFSC
Kalman Filter,(KALMAN),2.3,7/24/2009,Seaver,NA,yes,yes,,NEFSC
Model Compare Utility,(MCOMP),4.3,2/10/2014,Seaver,NA,yes,yes,,NEFSC
Management Strategy Evaluation,(MSE),3.4.3,9/20/2012,Seaver,NA,yes,yes,,NEFSC
Rivard Calculator,(RIVARD),2,10/24/2008,Seaver,NA,yes,yes,,NEFSC
Population Simulator,(POPSIM),7.5,5/25/2012,Seaver,NA,yes,yes,,NEFSC
Age Population Simulator,(POPSIM-A),8.2,12/12/2013,Seaver,NA,yes,yes,,NEFSC
Length Population Simulator,(POPSIM-L),8,12/12/2013,Seaver,NA,yes,yes,,NEFSC
Productivity and Susceptibility Analysis,(PSA),1.4,3/4/2010,Jones,NA,yes,unknown,,NEFSC
Statistical Catch at Length Model,(SCALE),1.0.11,9/13/2013,Nitscke,Nitschke,yes,unknown,,NEFSC
Stock Recruitment Fitting Model,(SRFIT),7.0.1,3/18/2010,Brodziak,Brodziak,yes,yes,yes,"NEFSC, PIFSC, SWFSC"
Stock Synthesis,(SS),3.3,5/16/2016,Methot et al.,Methot et al.,yes,yes,,All
Statistical Catch at Age Model,(STATCAM),1.4.1,5/2/2008,Brodziak,Brodziak,yes,yes,yes,"PIFSC, PINRO"
Survival Estimation in Non-Equilibrium situations,(SEINE),1.3,9/15/2008,Gedamke,NA,unknown,unknown,,
Virtual Population Analysis,(VPA),3.4.4,3/3/2014,Seaver,NA,yes,yes,,NEFSC
Visual Report Designer,(VRD),1.6.1,4/2/2008,Seaver,NA,yes,yes,,NEFSC
Yield Per Recruit,(YPR),3.3,9/17/2013,Seaver,NA,yes,yes,,NEFSC
Length Based Yield Per Recruit,(YPRLEN),2.1,4/20/2012,Seaver,NA,yes,yes,,NEFSC
,,,,,,,,,
Non-Toolbox,,,,,,,,,
AMAK,,,,Ianelli,Ianelli,yes,Yes,No,AFSC
BAM,,,,Williams and Shertzer,Williams and Shertzer,yes,unknown,,SEFSC
SAM,,,,Nielsen,Nielsen,yes,yes,External yes,ICES